qid,arrival,start,finish,runtime,status
26783,1917.077,1938.4,1947.6,9.21,ok
26067,1938.655,1953.4,1972.2,18.89,ok
17875,1826.627,1882.6,1978.5,95.88,ok
16495,1790.755,1875.8,1992.0,116.18,ok
14075,1959.27,1992.0,1994.2,2.25,ok
26025,1957.999,1978.5,2018.2,39.76,ok
26720,1975.428,2018.2,2029.1,10.84,ok
9000,1953.388,1972.2,2032.3,60.05,ok
18656,1985.858,2032.3,2050.6,18.25,ok
11063,1915.509,1938.4,2050.8,112.42,ok
6373,2012.916,2050.8,2065.2,14.35,ok
25783,2013.414,2065.2,2092.6,27.38,ok
10322,2003.395,2050.6,2094.9,44.32,ok
14203,2018.511,2092.6,2101.0,8.46,ok
11964,2023.495,2094.9,2105.4,10.54,ok
26660,2052.945,2101.0,2121.7,20.69,ok
26486,2054.053,2105.4,2126.4,20.99,ok
15906,1963.383,1994.2,2139.6,145.42,ok
12102,2062.649,2126.4,2151.3,24.84,ok
26673,1977.981,2029.1,2157.8,128.71,ok
26425,2086.148,2139.6,2161.8,22.18,ok
11512,2123.952,2157.8,2183.6,25.78,ok
26283,2127.258,2161.8,2186.8,24.99,ok
15092,2129.087,2183.6,2204.5,20.93,ok
26741,2132.907,2186.8,2207.4,20.64,ok
5794,2058.04,2121.7,2211.3,89.6,ok
26805,2135.327,2204.5,2216.4,11.92,ok
9876,2142.259,2211.3,2225.8,14.48,ok
17817,2139.958,2207.4,2227.3,19.83,ok
25305,2166.78,2225.8,2232.2,6.34,ok
18038,2099.515,2163.6,2255.4,91.79,ok
6531,2180.34,2239.6,2256.5,16.88,ok
25585,2143.182,2234.9,2269.6,34.66,ok
11482,2244.531,2261.6,2285.0,23.44,ok
25445,2206.419,2250.7,2286.0,35.33,ok
10319,2253.205,2262.7,2296.4,33.71,ok
12950,2262.692,2269.6,2296.9,27.31,ok
9614,2275.855,2286.0,2323.1,37.11,ok
25409,2292.269,2296.9,2333.1,36.18,ok
26263,2314.577,2347.5,2359.3,11.78,ok
15077,2300.907,2345.7,2372.5,26.83,ok
7587,2367.502,2381.3,2398.4,17.14,ok
26368,2347.608,2376.2,2410.3,34.04,ok
26243,2381.779,2410.3,2413.6,3.36,ok
26608,2381.386,2398.4,2417.9,19.42,ok
10601,2402.506,2431.9,2441.7,9.77,ok
11769,2385.679,2427.7,2443.0,15.35,ok
25470,2432.053,2441.7,2460.4,18.69,ok
6388,2445.636,2467.2,2479.0,11.83,ok
25714,2467.344,2493.2,2502.3,9.09,ok
10087,2493.184,2502.3,2549.1,46.88,ok
26040,2445.322,2466.5,2549.8,83.3,ok
20054,2506.064,2549.1,2569.1,19.94,ok
25324,2530.555,2569.1,2573.5,4.42,ok
13132,2280.622,2362.7,2586.0,223.23,ok
13216,2268.13,2351.4,2607.7,256.34,ok
11778,2550.289,2620.2,2642.6,22.4,ok
18011,2555.178,2649.3,2661.7,12.38,ok
25384,2541.532,2629.3,2681.4,52.18,ok
8309,2675.883,2727.9,2740.7,12.85,ok
13458,2650.633,2722.3,2746.2,23.97,ok
13012,2527.666,2652.0,2752.3,100.29,ok
17856,2728.016,2740.7,2754.8,14.11,ok
15078,2737.539,2746.2,2767.7,21.46,ok
25804,2745.412,2752.3,2774.4,22.14,ok
7073,2642.045,2710.5,2783.1,72.53,ok
11439,2752.878,2767.7,2787.8,20.05,ok
