qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
11810,1089.828,1443.3,1467.7,24.39,ok,1.672,1.672,0.273
26281,1463.381,1467.8,1495.9,28.04,ok,0.133,0.133,0.13
8793,1239.357,1496.0,1509.5,13.5,ok,1.057,1.057,0.283
25977,1404.885,1410.4,1511.3,100.85,ok,0.449,0.449,0.437
11082,1225.999,1462.7,1524.0,61.35,ok,1.035,1.035,0.308
9057,1372.268,1421.5,1531.6,110.11,ok,0.482,0.482,0.375
26718,1260.777,1509.7,1538.5,28.87,ok,1.039,1.039,0.29
22624,1448.145,1531.7,1544.3,12.61,ok,0.6,0.6,0.391
12050,1398.163,1544.5,1548.2,3.68,ok,0.99,0.99,0.468
8812,1399.703,1524.2,1552.2,28.01,ok,0.835,0.835,0.441
14438,1377.667,1552.3,1556.2,3.95,ok,1.412,1.412,0.577
13805,1398.862,1556.3,1568.5,12.19,ok,1.558,1.558,0.695
15326,1360.283,1538.7,1578.5,39.84,ok,1.077,1.077,0.431
15697,1484.344,1568.5,1605.8,37.26,ok,1.025,1.025,0.666
15150,1486.153,1578.6,1619.4,40.83,ok,0.964,0.964,0.6
26245,1365.553,1511.5,1625.9,114.44,ok,0.687,0.687,0.325
24675,1604.718,1626.0,1642.8,16.8,ok,0.545,0.545,0.489
26327,1491.171,1619.6,1644.0,24.45,ok,1.065,1.065,0.552
11555,1500.943,1548.3,1651.2,102.96,ok,0.608,0.608,0.477
8569,1507.192,1644.1,1666.4,22.32,ok,0.928,0.928,0.46
25824,1562.058,1642.9,1667.7,24.76,ok,0.72,0.72,0.476
25425,1557.693,1666.5,1690.8,24.31,ok,1.132,1.132,0.648
17182,1485.968,1605.9,1704.0,98.08,ok,0.967,0.967,0.523
26752,1594.566,1704.0,1718.5,14.5,ok,1.013,1.013,0.578
6836,1712.781,1718.6,1728.3,9.69,ok,0.262,0.262,0.254
25435,1396.133,1651.3,1739.9,88.54,ok,2.852,2.852,0.771
10075,1593.552,1667.8,1741.1,73.26,ok,1.126,1.403,0.959
25885,1591.735,1741.1,1761.8,20.69,ok,1.337,1.337,0.622
25715,1707.167,1740.0,1764.6,24.62,ok,0.788,0.788,0.667
26112,1725.03,1728.4,1765.9,37.53,ok,0.336,0.336,0.33
25320,1662.491,1764.7,1794.3,29.61,ok,1.161,1.161,0.688
26276,1637.489,1794.3,1800.5,6.15,ok,1.517,1.517,0.679
18604,1635.021,1690.9,1800.9,109.97,ok,0.913,0.913,0.686
11800,1617.624,1761.9,1826.3,64.39,ok,1.318,1.318,0.629
26210,1761.154,1766.0,1837.7,71.77,ok,0.872,0.872,0.851
14738,1733.103,1826.3,1854.4,28.09,ok,1.352,1.352,0.838
26382,1853.641,1854.5,1857.5,3.02,ok,0.659,0.659,0.656
19186,1708.502,1800.5,1876.9,76.35,ok,1.141,1.141,0.712
26813,1746.702,1857.6,1885.5,27.96,ok,1.501,1.501,0.85
26439,1867.185,1877.0,1895.2,18.28,ok,0.785,0.785,0.747
15832,1783.575,1885.6,1906.1,20.57,ok,1.251,1.251,0.741
17875,1826.627,1837.8,1913.8,75.96,ok,1.036,1.036,0.978
25315,1831.92,1906.2,1923.5,17.37,ok,1.342,1.342,0.917
14674,1866.253,1913.8,1926.0,12.19,ok,1.676,1.676,1.314
25871,1845.24,1907.7,1945.6,37.82,ok,1.037,1.037,0.802
26783,1917.077,1946.0,1958.8,12.85,ok,1.432,1.432,1.368
11063,1915.509,1943.6,1964.9,21.27,ok,0.75,0.75,0.72
26067,1938.655,1953.1,1976.3,23.21,ok,0.458,0.458,0.442
9000,1953.388,1964.9,1983.0,18.12,ok,0.827,0.827,0.78
16495,1790.755,1820.9,1989.9,168.96,ok,0.852,0.852,0.809
26720,1975.428,1976.4,1992.3,15.96,ok,1.151,1.151,1.146
14075,1959.27,1992.3,1994.5,2.21,ok,1.281,1.281,1.082
18656,1985.858,1998.5,2025.7,27.15,ok,1.214,1.214,1.189
26025,1957.999,1967.5,2044.0,76.56,ok,0.687,0.687,0.684
25783,2013.414,2025.7,2057.3,31.6,ok,0.722,0.722,0.678
26486,2054.053,2057.3,2069.4,12.06,ok,0.555,0.61,0.6
10322,2003.395,2044.1,2085.8,41.72,ok,0.734,0.789,0.641
26660,2052.945,2069.5,2087.9,18.39,ok,0.65,0.701,0.644
6373,2012.916,2087.9,2100.8,12.86,ok,1.026,1.026,0.698
26673,1977.981,1991.6,2111.0,119.39,ok,0.393,0.393,0.383
26425,2086.148,2111.1,2131.2,20.15,ok,1.383,1.383,1.217
15906,1963.383,2003.2,2150.0,146.87,ok,1.533,1.533,1.307
26283,2127.258,2131.3,2157.2,25.9,ok,0.748,0.748,0.733
14203,2018.511,2150.1,2168.0,17.82,ok,0.995,0.995,0.507
26805,2135.327,2157.3,2172.3,14.95,ok,1.125,1.125,1.005
5794,2058.04,2085.9,2188.9,103.0,ok,0.462,0.843,0.731
26741,2132.907,2168.1,2189.5,21.41,ok,1.218,1.218,1.018
9876,2142.259,2172.3,2193.4,21.04,ok,1.174,1.174,1.007
18038,2099.515,2100.9,2200.4,99.5,ok,0.675,0.675,0.671
17817,2139.958,2189.0,2207.9,18.93,ok,0.932,1.028,0.8
11964,2023.495,2200.4,2209.3,8.86,ok,4.182,4.182,1.688
25585,2143.182,2189.6,2210.5,20.98,ok,1.51,1.51,1.191
25305,2166.78,2209.3,2220.9,11.57,ok,1.954,1.954,1.571
6531,2180.34,2193.4,2239.1,45.64,ok,1.744,1.744,1.631
12102,2062.649,2215.7,2246.3,30.61,ok,4.561,4.572,2.141
11512,2123.952,2230.6,2254.7,24.19,ok,4.296,5.132,3.121
25445,2206.419,2221.4,2259.1,37.76,ok,0.281,0.281,0.279
15092,2129.087,2252.5,2259.8,7.29,ok,3.983,4.627,2.632
11482,2244.531,2254.6,2259.9,5.3,ok,4.346,5.149,5.102
12950,2262.692,2265.6,2266.6,0.97,ok,2.359,2.409,2.373
9614,2275.855,2289.0,2311.3,22.31,ok,0.783,0.783,0.773
10319,2253.205,2269.4,2328.0,58.63,ok,0.257,0.257,0.255
25409,2292.269,2311.3,2328.8,17.53,ok,0.734,0.734,0.666
26263,2314.577,2347.6,2367.6,20.04,ok,1.174,1.174,1.091
15077,2300.907,2346.7,2381.2,34.41,ok,1.248,1.248,1.086
26368,2347.608,2367.6,2386.1,18.5,ok,0.948,0.948,0.855
7587,2367.502,2381.2,2398.3,17.14,ok,1.172,1.172,1.093
11769,2385.679,2386.1,2400.5,14.36,ok,0.339,0.339,0.338
26243,2381.779,2400.5,2408.8,8.3,ok,0.88,0.88,0.799
10601,2402.506,2431.8,2441.4,9.59,ok,1.346,1.346,1.302
26608,2381.386,2421.2,2455.5,34.25,ok,0.459,0.459,0.421
25470,2432.053,2441.4,2465.8,24.43,ok,1.314,1.314,1.253
6388,2445.636,2455.5,2468.6,13.11,ok,0.619,0.619,0.588
25714,2467.344,2493.2,2505.9,12.76,ok,0.082,0.082,0.081
10087,2493.184,2505.9,2540.2,34.28,ok,1.183,1.183,1.108
25324,2530.555,2540.3,2544.8,4.53,ok,0.391,0.391,0.372
13132,2280.622,2358.1,2570.3,212.19,ok,0.571,0.571,0.569
26040,2445.322,2490.3,2581.8,91.47,ok,1.004,1.004,0.904
