query_order,qid,arrival_time_s,estimated_runtime_s
988,25673,24182.817,8.63
989,25447,24190.363,85.99
990,10990,24208.811,41.34
991,25654,24209.203,21.24
992,11479,24225.032,17.93
993,12384,24232.348,7.32
994,12661,24241.084,26.03
995,13063,24244.152,6.92
996,25676,24252.097,29.39
997,10225,24253.17,6.02
998,11087,24253.63,39.55
999,25365,24280.089,11.92
