query_order,qid,arrival_time_s,estimated_runtime_s
227,10556,5707.977,17.73
228,6456,5717.174,2.92
229,19844,5719.695,44.55
230,10075,5723.214,21.24
231,7857,5725.7,42.92
232,25324,5727.416,17.23
233,15194,5728.85,19.53
234,25566,5737.171,19.05
235,11999,5737.535,2.02
236,25650,5737.604,7.33
237,25283,5737.868,29.96
238,19727,5737.968,7.53
239,10170,5737.977,30.74
240,25624,5738.283,16.14
241,7551,5741.658,6.32
242,17087,5741.827,6.22
243,19865,5743.142,8.22
244,11437,5744.77,26.04
245,11974,5744.916,10.03
246,10074,5744.999,15.03
247,15259,5745.216,12.59
248,10182,5745.228,10.93
249,12212,5745.382,21.33
250,10601,5747.023,46.03
251,14786,5747.494,56.43
252,13308,5748.138,4.42
253,13626,5748.373,3.21
254,11982,5752.318,4.02
255,25382,5753.883,32.85
256,12849,5755.493,40.14
257,25350,5755.647,11.33
258,3714,5756.619,8.03
259,12429,5757.148,22.04
260,25770,5759.209,7.94
261,25419,5761.564,8.82
262,3050,5765.345,8.63
263,16299,5765.925,46.85
264,14043,5767.972,60.46
265,5119,5768.444,38.84
266,12465,5769.538,37.15
267,25284,5774.268,10.33
268,8925,5775.471,18.16
269,20789,5777.341,51.08
270,12941,5777.405,13.03
271,12107,5778.161,61.05
272,10125,5778.362,5.92
273,15022,5778.512,5.2
274,12508,5779.117,39.35
275,10759,5779.777,12.7
276,17817,5779.816,22.13
277,11810,5787.188,35.15
278,13135,5789.516,9.72
279,16386,5793.056,3.52
280,13597,5794.078,61.24
281,25425,5796.093,10.73
282,13503,5799.29,3.42
283,15567,5800.749,3.72
284,12647,5801.779,5.12
285,5463,5804.037,38.84
286,13026,5805.963,60.84
287,15574,5808.165,5.16
288,7316,5808.691,66.27
289,25679,5809.886,19.38
290,18465,5812.846,20.73
291,11889,5813.636,25.84
292,18934,5815.323,50.02
293,25287,5817.929,48.45
294,15010,5819.918,17.53
295,5310,5823.962,16.73
296,10110,5826.632,2.72
297,12096,5829.427,3.52
298,15015,5830.119,10.82
299,17856,5831.454,41.31
300,10316,5836.169,9.72
301,20103,5838.112,16.13
302,14695,5840.974,4.82
303,12991,5841.701,43.33
304,15300,5844.217,4.12
305,25700,5846.316,33.66
306,14203,5853.015,53.02
307,25545,5855.958,13.53
308,14628,5858.512,25.46
309,10722,5863.18,26.04
310,17919,5863.549,2.32
311,19935,5878.471,32.25
312,18602,5881.49,19.73
313,25501,5888.045,88.19
314,10368,5894.123,2.42
315,7026,5896.881,10.09
316,25304,5900.849,24.79
317,6107,5904.845,26.93
318,11446,5915.086,26.14
