qid,arrival,start,finish,runtime,status,predicted_slowdown
26752,1594.566,1672.1,1740.1,68.0,ok,5.891
24675,1604.718,1693.4,1750.6,57.18,ok,6.017
6836,1712.781,1714.8,1759.7,44.84,ok,5.318
10075,1593.552,1685.5,1783.5,98.02,ok,5.582
11800,1617.624,1688.6,1786.0,97.31,ok,6.116
25320,1662.491,1715.5,1812.2,96.71,ok,7.421
26112,1725.03,1740.2,1822.6,82.36,ok,9.176
14738,1733.103,1750.7,1825.4,74.69,ok,8.066
26813,1746.702,1759.7,1836.3,76.61,ok,8.169
25715,1707.167,1792.3,1848.5,56.17,ok,10.619
18604,1635.021,1714.1,1848.5,134.37,ok,6.161
19186,1708.502,1746.1,1876.8,130.66,ok,9.817
15832,1783.575,1803.4,1880.6,77.18,ok,6.708
25315,1831.92,1888.4,1930.8,42.39,ok,8.626
25871,1845.24,1891.8,1943.7,51.95,ok,10.116
26382,1853.641,1896.3,1946.6,50.3,ok,8.236
26210,1761.154,1870.9,1965.0,94.14,ok,9.551
14674,1866.253,1918.1,1965.3,47.25,ok,5.542
26783,1917.077,1950.4,1981.8,31.4,ok,8.796
26067,1938.655,1953.2,2001.5,48.3,ok,13.624
26439,1867.185,1921.8,2004.5,82.67,ok,9.985
26720,1975.428,2001.7,2018.8,17.16,ok,12.345
17875,1826.627,1885.5,2032.7,147.11,ok,8.439
6373,2012.916,2019.0,2042.8,23.71,ok,7.639
16495,1790.755,1881.2,2054.6,173.34,ok,9.382
10322,2003.395,2004.6,2056.4,51.77,ok,11.104
11964,2023.495,2032.9,2063.5,30.61,ok,7.413
25783,2013.414,2056.6,2098.8,42.19,ok,4.774
18656,1985.858,2054.8,2103.9,49.06,ok,5.161
14075,1959.27,2099.0,2106.1,7.04,ok,4.571
26425,2086.148,2104.0,2119.0,14.91,ok,4.709
26025,1957.999,2042.9,2121.6,78.66,ok,8.448
14203,2018.511,2063.7,2132.9,69.23,ok,6.289
26660,2052.945,2106.3,2152.4,46.11,ok,5.25
26486,2054.053,2121.7,2156.6,34.89,ok,4.745
12102,2062.649,2133.1,2173.8,40.71,ok,4.987
9000,1953.388,1965.2,2188.7,223.54,ok,9.984
26283,2127.258,2156.9,2197.2,40.38,ok,5.708
17817,2139.958,2174.1,2206.9,32.86,ok,4.162
5794,2058.04,2119.1,2210.2,91.07,ok,4.343
9876,2142.259,2189.0,2217.2,28.25,ok,4.884
26805,2135.327,2197.4,2223.3,25.87,ok,4.286
11512,2123.952,2207.2,2229.5,22.34,ok,4.577
11063,1915.509,1937.4,2236.0,298.52,ok,4.911
18038,2099.515,2152.7,2239.7,86.96,ok,4.499
25305,2166.78,2229.7,2243.0,13.31,ok,3.796
6531,2180.34,2231.4,2260.3,28.92,ok,4.293
26741,2132.907,2225.3,2260.7,35.43,ok,3.574
25585,2143.182,2218.4,2272.8,54.48,ok,3.085
15092,2129.087,2244.0,2275.1,31.15,ok,4.349
11482,2244.531,2252.9,2284.7,31.79,ok,7.84
25445,2206.419,2255.1,2300.3,45.23,ok,7.509
12950,2262.692,2270.7,2306.3,35.57,ok,9.901
25409,2292.269,2308.6,2344.4,35.84,ok,7.097
9614,2275.855,2291.8,2344.5,52.65,ok,9.328
15077,2300.907,2333.8,2379.3,45.5,ok,5.911
26263,2314.577,2363.7,2390.7,27.03,ok,6.976
26368,2347.608,2367.2,2412.8,45.6,ok,9.454
7587,2367.502,2379.3,2425.2,45.85,ok,8.211
26243,2381.779,2390.8,2429.0,38.18,ok,6.626
15906,1963.383,2008.2,2433.2,424.99,ok,10.585
10601,2402.506,2425.0,2450.4,25.42,ok,6.148
26673,1977.981,2036.8,2453.2,416.35,ok,11.172
11769,2385.679,2451.2,2477.6,26.34,ok,6.578
10319,2253.205,2336.5,2495.1,158.61,ok,6.49
25470,2432.053,2483.2,2520.4,37.17,ok,7.365
26608,2381.386,2486.2,2537.6,51.38,ok,8.965
6388,2445.636,2495.6,2539.7,44.02,ok,6.842
13132,2280.622,2376.8,2541.2,164.34,ok,8.882
10087,2493.184,2518.8,2580.1,61.21,ok,8.26
25714,2467.344,2516.6,2590.9,74.33,ok,2.916
