qid,arrival,start,finish,runtime,status,predicted_slowdown
25715,1707.167,1710.6,1724.0,13.39,ok,0.987
6836,1712.781,1724.0,1733.2,9.22,ok,0.372
10075,1593.552,1664.1,1742.3,78.22,ok,0.95
18604,1635.021,1650.0,1748.1,98.09,ok,0.762
11800,1617.624,1691.8,1750.4,58.51,ok,0.794
26112,1725.03,1733.2,1754.2,21.01,ok,0.35
14438,1377.667,1750.4,1778.6,28.24,ok,1.669
25320,1662.491,1748.1,1779.6,31.41,ok,0.606
25435,1396.133,1742.3,1791.5,49.17,ok,0.992
26813,1746.702,1778.6,1803.8,25.18,ok,3.099
14738,1733.103,1779.6,1804.6,25.03,ok,1.744
19186,1708.502,1776.2,1845.4,69.22,ok,1.015
15832,1783.575,1825.8,1854.6,28.83,ok,1.488
25315,1831.92,1854.6,1864.4,9.83,ok,1.555
26210,1761.154,1826.6,1881.6,54.99,ok,0.497
25871,1845.24,1864.4,1890.0,25.56,ok,1.606
14674,1866.253,1890.0,1899.7,9.72,ok,1.767
26382,1853.641,1915.4,1918.2,2.84,ok,1.735
26439,1867.185,1897.2,1921.5,24.32,ok,1.241
26783,1917.077,1938.4,1947.1,8.73,ok,1.687
11063,1915.509,1941.1,1970.3,29.16,ok,0.921
26067,1938.655,1953.1,1973.1,19.96,ok,0.314
17875,1826.627,1884.0,1982.3,98.35,ok,2.493
16495,1790.755,1852.0,1986.7,134.71,ok,0.609
9000,1953.388,1970.3,2001.5,31.2,ok,0.789
18656,1985.858,2001.5,2022.6,21.12,ok,0.854
26025,1957.999,1973.1,2030.2,57.1,ok,0.774
15906,1963.383,1986.7,2043.1,56.32,ok,1.438
26720,1975.428,2030.2,2050.8,20.56,ok,1.24
26673,1977.981,1982.3,2055.6,73.27,ok,0.389
6373,2012.916,2050.8,2072.6,21.76,ok,1.415
25783,2013.414,2022.6,2088.9,66.29,ok,0.628
26486,2054.053,2055.6,2100.3,44.65,ok,1.065
26660,2052.945,2088.9,2116.7,27.73,ok,1.275
26425,2086.148,2116.7,2133.2,16.56,ok,1.117
10322,2003.395,2043.1,2154.6,111.55,ok,1.008
26283,2127.258,2133.3,2157.8,24.52,ok,1.053
26805,2135.327,2157.8,2166.9,9.08,ok,1.17
17817,2139.958,2154.6,2172.9,18.21,ok,0.74
14075,1959.27,2172.9,2175.3,2.39,ok,1.872
26741,2132.907,2166.9,2190.8,23.93,ok,1.307
18038,2099.515,2100.3,2197.3,97.0,ok,1.16
5794,2058.04,2072.6,2200.6,127.97,ok,0.301
25585,2143.182,2175.3,2201.2,25.98,ok,2.165
14203,2018.511,2201.3,2207.9,6.62,ok,2.439
25305,2166.78,2200.6,2208.3,7.76,ok,1.118
6531,2180.34,2190.8,2209.9,19.1,ok,1.207
9876,2142.259,2197.3,2216.8,19.57,ok,1.479
11964,2023.495,2208.3,2237.6,29.22,ok,1.459
12102,2062.649,2216.9,2245.3,28.43,ok,3.854
25445,2206.419,2221.7,2254.1,32.4,ok,0.58
15092,2129.087,2230.7,2254.2,23.55,ok,6.594
11512,2123.952,2257.2,2262.3,5.0,ok,6.087
11482,2244.531,2258.1,2262.3,4.22,ok,11.332
12950,2262.692,2266.6,2267.6,0.98,ok,0.95
10319,2253.205,2270.8,2303.1,32.23,ok,0.438
9614,2275.855,2289.0,2320.4,31.44,ok,0.732
26263,2314.577,2320.4,2334.6,14.14,ok,1.155
15077,2300.907,2316.1,2359.5,43.43,ok,1.966
25409,2292.269,2355.5,2373.8,18.3,ok,1.086
7587,2367.502,2381.4,2398.9,17.55,ok,1.89
26368,2347.608,2375.0,2403.9,28.91,ok,1.361
11769,2385.679,2398.9,2415.7,16.8,ok,0.639
26608,2381.386,2403.9,2421.3,17.32,ok,0.497
26243,2381.779,2426.5,2432.4,5.95,ok,1.408
10601,2402.506,2444.1,2462.3,18.24,ok,1.608
25470,2432.053,2444.5,2472.7,28.17,ok,1.178
6388,2445.636,2462.3,2475.3,12.98,ok,1.126
25714,2467.344,2490.5,2508.4,17.87,ok,0.025
20054,2506.064,2508.4,2525.5,17.11,ok,1.172
13132,2280.622,2361.1,2555.5,194.4,ok,0.749
26040,2445.322,2493.2,2565.5,72.31,ok,1.483
25324,2530.555,2565.5,2569.9,4.39,ok,0.673
10087,2493.184,2525.5,2590.7,65.17,ok,1.739
18011,2555.178,2590.7,2597.0,6.29,ok,1.213
13216,2268.13,2397.2,2650.4,253.22,ok,0.748
11778,2550.289,2642.0,2665.4,23.41,ok,5.25
25384,2541.532,2625.4,2679.7,54.3,ok,1.609
8309,2675.883,2724.0,2737.2,13.17,ok,1.528
13458,2650.633,2720.2,2744.4,24.23,ok,10.257
17856,2728.016,2737.2,2749.7,12.51,ok,10.3
13012,2527.666,2655.3,2753.4,98.05,ok,0.148
7073,2642.045,2705.2,2759.7,54.6,ok,1.499
15078,2737.539,2744.4,2768.0,23.56,ok,9.635
25804,2745.412,2749.7,2781.7,32.05,ok,1.511
5114,2751.22,2759.8,2800.7,40.87,ok,2.912
26520,2755.508,2781.7,2825.1,43.4,ok,1.814
13640,2797.696,2800.7,2841.2,40.51,ok,1.01
26637,2819.134,2841.2,2855.6,14.37,ok,1.178
11439,2752.878,2753.4,2858.9,105.45,ok,0.327
12381,2821.078,2858.9,2905.4,46.49,ok,1.107
25968,2825.441,2905.4,2915.1,9.72,ok,0.874
7565,2790.022,2855.6,2934.3,78.78,ok,1.097
26614,2827.289,2934.4,2949.1,14.7,ok,0.791
26165,2946.348,2949.1,2963.1,14.01,ok,0.75
26749,2819.695,2825.2,2982.7,157.59,ok,0.19
12849,2763.464,2768.0,2984.5,216.54,ok,0.515
9421,2849.501,2915.2,3006.4,91.26,ok,0.851
26668,2905.684,2963.1,3015.6,52.5,ok,0.908
9547,2945.513,2984.6,3038.7,54.14,ok,0.635
26373,2879.529,3038.7,3052.1,13.43,ok,0.836
25937,2957.309,3052.2,3068.8,16.6,ok,1.063
26353,2982.279,2982.8,3091.0,108.21,ok,0.345
12518,2905.667,3006.4,3107.1,100.7,ok,0.326
25464,3060.899,3068.8,3125.2,56.41,ok,0.995
25648,2936.215,3125.2,3143.0,17.76,ok,0.698
