qid,arrival,start,finish,serial_runtime,wait_time,n_concurrent,overlapping_ids
25700,3370.3,3827.36,3860.76,33.4,457.11,5,25460;25698;25699;25705;25706
25705,3371.0,3840.64,3868.74,28.1,469.66,6,25460;25699;25700;25706;25707;25714
25706,3381.3,3853.86,3867.06,13.2,472.59,4,25460;25700;25705;25707
25707,3381.5,3860.76,3928.86,68.1,479.23,11,25460;25705;25706;25714;25717;25718;25723;25730;25737;25739;25741
25714,3390.3,3867.06,3872.36,5.3,476.71,4,25460;25705;25707;25717
25717,3418.5,3868.74,3900.74,32.0,450.22,5,25460;25707;25714;25718;25723
25718,3427.1,3872.36,3910.56,38.2,445.27,5,25460;25707;25717;25723;25730
25723,3432.0,3890.17,3911.77,21.6,458.17,5,25707;25717;25718;25730;25737
25730,3442.3,3900.74,3939.14,38.4,458.43,9,25707;25718;25723;25737;25739;25741;25742;25748;25750
25737,3448.4,3910.56,3931.26,20.7,462.12,6,25707;25723;25730;25739;25741;25742
25739,3456.3,3911.77,3918.89,7.12,455.44,3,25707;25730;25737
25741,3484.7,3918.89,3972.39,53.5,434.18,16,25707;25730;25737;25742;25748;25750;25753;25755;25759;25766;25771;25774;25781;2585;260;2690
25742,3489.6,3928.86,3938.96,10.1,439.27,4,25730;25737;25741;25748
25748,3522.1,3931.26,3942.06,10.8,409.18,5,25730;25741;25742;25750;25753
25750,3545.7,3938.96,3947.67,8.71,393.31,6,25730;25741;25748;25753;25755;25759
25753,3547.8,3939.14,3946.27,7.13,391.3,4,25741;25748;25750;25755
25755,3548.6,3942.06,3957.56,15.5,393.5,6,25741;25750;25753;25759;25766;25771
25759,3549.6,3946.27,3954.78,8.51,396.65,4,25741;25750;25755;25766
25766,3549.8,3947.67,3961.37,13.7,397.87,5,25741;25755;25759;25771;25774
25771,3550.8,3954.78,3968.48,13.7,403.99,6,25741;25755;25766;25774;25781;2585
25774,3562.3,3957.56,3969.26,11.7,395.28,6,25741;25766;25771;25781;2585;260
25781,3563.0,3961.37,3963.63,2.26,398.35,3,25741;25771;25774
2585,3566.9,3963.63,4032.33,68.7,396.77,8,25741;25771;25774;260;2690;2826;2828;285
260,3585.5,3968.48,4487.98,519.5,382.98,55,25741;25774;2585;2690;2826;2828;285;2999;3050;3386;3405;3455;3487;3501;3609;3836;392;3924;407;426;4291;4412;4443;4464;4513;4601;4690;4693;4741;4753;486;4883;5065;5069;5071;5085;5244;5310;5459;5465;5529;5543;5689;5726;5765;5794;5888;5937;5982;6103;6125;6172;6235;6284;6288
2690,3585.7,3969.26,3981.36,12.1,383.52,4,25741;2585;260;2826
2826,3602.6,3972.39,3984.09,11.7,369.82,4,2585;260;2690;2828
2828,3605.9,3981.36,4181.76,200.4,375.47,13,2585;260;2826;285;2999;3050;3386;3405;3455;3487;3501;3609;3836
285,3607.1,3984.09,4072.29,88.2,376.95,6,2585;260;2828;2999;3050;3386
2999,3619.1,4032.33,4057.03,24.7,413.26,3,260;2828;285
3050,3629.0,4057.03,4065.69,8.66,428.04,3,260;2828;285
3386,3650.0,4065.69,4091.99,26.3,415.71,4,260;2828;285;3405
3405,3663.3,4072.29,4111.89,39.6,409.03,4,260;2828;3386;3455
3455,3679.5,4091.99,4191.69,99.7,412.46,9,260;2828;3405;3487;3501;3609;3836;392;3924
3487,3682.8,4111.89,4133.69,21.8,429.04,3,260;2828;3455
3501,3684.8,4133.69,4156.29,22.6,448.89,3,260;2828;3455
3609,3698.7,4156.29,4167.29,11.0,457.6,3,260;2828;3455
3836,3715.1,4167.29,4188.69,21.4,452.16,4,260;2828;3455;392
392,3761.7,4181.76,4192.86,11.1,420.05,5,260;3455;3836;3924;407
3924,3767.0,4188.69,4207.69,19.0,421.67,6,260;3455;392;407;426;4291
407,3771.7,4191.69,4202.59,10.9,420.02,4,260;392;3924;426
426,3786.7,4192.86,4218.66,25.8,406.2,6,260;3924;407;4291;4412;4443
4291,3790.8,4202.59,4211.3,8.71,411.77,4,260;3924;426;4412
4412,3817.5,4207.69,4233.09,25.4,390.17,6,260;426;4291;4443;4464;4513
4443,3837.1,4211.3,4311.9,100.6,374.23,11,260;426;4412;4464;4513;4601;4690;4693;4741;4753;486
4464,3842.7,4218.66,4226.93,8.27,375.98,3,260;4412;4443
4513,3856.6,4226.93,4309.93,83.0,370.35,8,260;4412;4443;4601;4690;4693;4741;4753
4601,3870.6,4233.09,4250.09,17.0,362.47,3,260;4443;4513
4690,3871.7,4250.09,4253.67,3.58,378.38,3,260;4443;4513
4693,3895.0,4253.67,4271.47,17.8,358.68,3,260;4443;4513
4741,3902.0,4271.47,4285.67,14.2,369.44,3,260;4443;4513
4753,3919.5,4285.67,4312.87,27.2,366.13,5,260;4443;4513;486;4883
486,3923.4,4309.93,4324.73,14.8,386.52,6,260;4443;4753;4883;5065;5069
4883,3946.0,4311.9,4315.25,3.35,365.91,4,260;4753;486;5065
5065,3950.9,4312.87,4351.37,38.5,361.95,8,260;486;4883;5069;5071;5085;5244;5310
5069,3951.0,4315.25,4327.25,12.0,364.22,4,260;486;5065;5071
5071,3974.6,4324.73,4330.66,5.93,350.12,4,260;5065;5069;5085
5085,3975.6,4327.25,4382.55,55.3,351.69,8,260;5065;5071;5244;5310;5459;5465;5529
5244,3979.4,4330.66,4338.89,8.23,351.24,3,260;5065;5085
5310,4009.4,4338.89,4355.99,17.1,329.5,4,260;5065;5085;5459
5459,4039.5,4351.37,4423.97,72.6,311.91,11,260;5085;5310;5465;5529;5543;5689;5726;5765;5794;5888
5465,4048.0,4355.99,4368.99,13.0,308.01,3,260;5085;5459
5529,4058.0,4368.99,4410.39,41.4,311.01,4,260;5085;5459;5543
5543,4063.9,4382.55,4418.35,35.8,318.63,5,260;5459;5529;5689;5726
5689,4067.4,4410.39,4413.49,3.1,342.99,3,260;5459;5543
5726,4071.4,4413.49,4423.39,9.9,342.11,5,260;5459;5543;5765;5794
5765,4082.5,4418.35,4423.02,4.67,335.81,3,260;5459;5726
5794,4096.5,4423.02,4448.72,25.7,326.52,7,260;5459;5726;5888;5937;5982;6103
5888,4112.2,4423.39,4446.59,23.2,311.2,5,260;5459;5794;5937;5982
5937,4127.8,4423.97,4426.41,2.44,296.2,3,260;5794;5888
5982,4128.7,4426.41,4483.51,57.1,297.69,8,260;5794;5888;6103;6125;6172;6235;6284
6103,4135.5,4446.59,4769.29,322.7,311.04,39,260;5794;5982;6125;6172;6235;6284;6288;6343;6383;6523;6537;6618;6632;6727;6891;6917;6958;7011;703;7073;7164;7186;7205;7256;7393;7439;7502;7504;7551;7552;7586;7587;7615;7670;7674;7733;7777;7795
6125,4136.1,4448.72,4451.61,2.89,312.58,3,260;5982;6103
6172,4144.1,4451.61,4460.74,9.13,307.5,3,260;5982;6103
6235,4149.9,4460.74,4470.43,9.69,310.8,3,260;5982;6103
6284,4171.8,4470.43,4491.83,21.4,298.63,6,260;5982;6103;6288;6343;6383
6288,4176.1,4483.51,4491.65,8.14,307.38,4,260;6103;6284;6343
6343,4177.4,4487.98,4501.88,13.9,310.61,6,6103;6284;6288;6383;6523;6537
6383,4178.9,4491.65,4510.45,18.8,312.74,6,6103;6284;6343;6523;6537;6618
6523,4193.2,4491.83,4494.15,2.32,298.58,3,6103;6343;6383
6537,4202.9,4494.15,4587.05,92.9,291.27,11,6103;6343;6383;6618;6632;6727;6891;6917;6958;7011;703
6618,4203.9,4501.88,4558.48,56.6,297.93,4,6103;6383;6537;6632
6632,4204.8,4510.45,4562.45,52.0,305.63,4,6103;6537;6618;6727
6727,4216.9,4558.48,4572.58,14.1,341.58,4,6103;6537;6632;6891
6891,4217.7,4562.45,4576.15,13.7,344.8,5,6103;6537;6727;6917;6958
6917,4234.9,4572.58,4575.57,2.99,337.68,3,6103;6537;6891
6958,4247.2,4575.57,4827.87,252.3,328.42,35,6103;6537;6891;7011;703;7073;7164;7186;7205;7256;7393;7439;7502;7504;7551;7552;7586;7587;7615;7670;7674;7733;7777;7795;7950;8147;8282;831;8339;8447;8462;8507;8513;8706;8755
7011,4248.0,4576.15,4578.75,2.6,328.15,3,6103;6537;6958
703,4248.9,4578.75,4606.75,28.0,329.86,4,6103;6537;6958;7073
7073,4292.0,4587.05,4615.65,28.6,295.01,6,6103;6958;703;7164;7186;7205
7164,4296.7,4606.75,4609.14,2.39,310.02,3,6103;6958;7073
7186,4301.4,4609.14,4611.77,2.63,307.78,3,6103;6958;7073
7205,4318.1,4611.77,4625.47,13.7,293.65,5,6103;6958;7073;7256;7393
7256,4347.5,4615.65,4618.01,2.36,268.11,3,6103;6958;7205
7393,4390.2,4618.01,4632.81,14.8,227.79,4,6103;6958;7205;7439
7439,4404.2,4625.47,4637.67,12.2,221.25,4,6103;6958;7393;7502
7502,4408.9,4632.81,4643.91,11.1,223.87,4,6103;6958;7439;7504
7504,4409.8,4637.67,4702.87,65.2,227.85,5,6103;6958;7502;7551;7552
7551,4424.8,4643.91,4647.92,4.01,219.08,3,6103;6958;7504
7552,4433.0,4647.92,4738.22,90.3,214.92,7,6103;6958;7504;7586;7587;7615;7670
7586,4438.5,4702.87,4705.41,2.54,264.35,3,6103;6958;7552
7587,4462.2,4705.41,4716.71,11.3,243.21,3,6103;6958;7552
7615,4463.4,4716.71,4719.7,2.99,253.33,3,6103;6958;7552
7670,4470.2,4719.7,4780.6,60.9,249.53,9,6103;6958;7552;7674;7733;7777;7795;7950;8147
7674,4470.3,4738.22,4741.73,3.51,267.94,3,6103;6958;7670
7733,4476.6,4741.73,4741.83,0.1,265.12,3,6103;6958;7670
7777,4477.2,4741.83,4753.43,11.6,264.65,3,6103;6958;7670
7795,4478.5,4753.43,4776.33,22.9,274.98,4,6103;6958;7670;7950
7950,4479.7,4769.29,4796.89,27.6,289.58,6,6958;7670;7795;8147;8282;831
8147,4490.2,4776.33,4802.13,25.8,286.15,6,6958;7670;7950;8282;831;8339
8282,4503.9,4780.6,4788.45,7.85,276.72,3,6958;7950;8147
831,4512.6,4788.45,4812.25,23.8,275.81,7,6958;7950;8147;8339;8447;8462;8507
8339,4545.4,4796.89,4809.59,12.7,251.5,4,6958;8147;831;8447
8447,4550.1,4802.13,4811.84,9.71,252.05,4,6958;831;8339;8462
8462,4553.4,4809.59,4855.79,46.2,256.14,11,6958;831;8447;8507;8513;8706;8755;8870;8890;9073;9112
8507,4573.7,4811.84,4817.12,5.28,238.1,4,6958;831;8462;8513
8513,4576.3,4812.25,4854.95,42.7,235.98,8,6958;8462;8507;8706;8755;8870;8890;9073
8706,4609.3,4817.12,4822.09,4.97,207.82,3,6958;8462;8513
8755,4609.4,4822.09,4839.79,17.7,212.67,4,6958;8462;8513;8870
8870,4644.5,4827.87,5208.37,380.5,183.42,31,8462;8513;8755;8890;9073;9112;9117;9125;9173;9179;9181;9182;9205;9409;9414;9443;9453;9548;9593;9651;9665;9669;9688;9747;9819;9855;9897;9909;9924;9968;9994
8890,4644.9,4839.79,4846.0,6.21,194.9,3,8462;8513;8870
9073,4667.1,4846.0,5039.2,193.2,178.93,18,8462;8513;8870;9112;9117;9125;9173;9179;9181;9182;9205;9409;9414;9443;9453;9548;9593;9651
9112,4674.6,4854.95,4857.88,2.93,180.38,4,8462;8870;9073;9117
9117,4724.1,4855.79,4909.99,54.2,131.65,4,8870;9073;9112;9125
9125,4724.9,4857.88,4932.98,75.1,132.98,4,8870;9073;9117;9173
9173,4733.0,4909.99,4939.09,29.1,177.01,4,8870;9073;9125;9179
9179,4767.8,4932.98,4941.19,8.21,165.17,4,8870;9073;9173;9181
9181,4775.2,4939.09,4963.39,24.3,163.87,4,8870;9073;9179;9182
9182,4785.1,4941.19,4981.59,40.4,156.05,4,8870;9073;9181;9205
9205,4797.0,4963.39,5009.99,46.6,166.34,8,8870;9073;9182;9409;9414;9443;9453;9548
9409,4803.1,4981.59,4984.25,2.66,178.49,3,8870;9073;9205
9414,4813.0,4984.25,4986.55,2.3,171.27,3,8870;9073;9205
9443,4821.8,4986.55,5004.85,18.3,164.79,3,8870;9073;9205
9453,4844.9,5004.85,5006.28,1.43,159.95,3,8870;9073;9205
9548,4845.4,5006.28,5245.98,239.7,160.91,16,8870;9073;9205;9593;9651;9665;9669;9688;9747;9819;9855;9897;9909;9924;9968;9994
9593,4848.7,5009.99,5012.68,2.69,161.32,3,8870;9073;9548
9651,4878.7,5012.68,5041.28,28.6,133.97,4,8870;9073;9548;9665
9665,4900.8,5039.2,5044.36,5.16,138.4,5,8870;9548;9651;9669;9688
9669,4906.9,5041.28,5043.55,2.27,134.39,3,8870;9548;9665
9688,4916.6,5043.55,5135.25,91.7,126.98,7,8870;9548;9665;9747;9819;9855;9897
9747,4919.8,5044.36,5050.24,5.88,124.55,3,8870;9548;9688
9819,4921.9,5050.24,5125.04,74.8,128.35,3,8870;9548;9688
9855,4928.1,5125.04,5131.04,6.0,196.92,3,8870;9548;9688
9897,4932.5,5131.04,5153.24,22.2,198.56,5,8870;9548;9688;9909;9924
9909,4941.2,5135.25,5150.05,14.8,194.0,3,8870;9548;9897
9924,4942.1,5150.05,5195.15,45.1,207.99,5,8870;9548;9897;9968;9994
9968,4978.7,5153.24,5162.0,8.76,174.54,3,8870;9548;9924
9994,5021.5,5162.0,5203.8,41.8,140.46,3,8870;9548;9924
